1754444183.280794 server started (94692): version next-3.6, socket /tmp/tmux-1000/default, protocol 8
1754444183.280815 on Linux 6.1.0-37-amd64 #1 SMP PREEMPT_DYNAMIC Debian 6.1.140-1 (2025-05-22)
1754444183.280830 using libevent 2.1.12-stable poll
1754444183.280835 using ncurses 6.4 20221231
1754444183.293324 cmd_parse_build_commands 0:3 1:4 2:1: -d0.3
1754444183.293326 cmd_parse_build_commands 0:3 1:4 3:0: send
1754444183.293328 cmd_parse_build_commands 0:3 1:4 3:1: -X
1754444183.293331 cmd_parse_build_commands 0:3 1:4 3:2: copy-pipe-and-cancel
1754444183.293336 cmd_parse_build_commands 0:0: select-pane
1754444183.293338 cmd_parse_build_commands 0:1: -t=
1754444183.293341 cmd_parse_build_commands 1:0: if
1754444183.293343 cmd_parse_build_commands 1:1: -F
1754444183.293345 cmd_parse_build_commands 1:2: #{||:#{pane_in_mode},#{mouse_any_flag}}
1754444183.293348 cmd_parse_build_commands 1:3 0:0: send
1754444183.293350 cmd_parse_build_commands 1:3 0:1: -M
1754444183.293353 cmd_parse_build_commands 1:4 0:0: copy-mode
1754444183.293355 cmd_parse_build_commands 1:4 0:1: -H
1754444183.293357 cmd_parse_build_commands 1:4 1:0: send
1754444183.293359 cmd_parse_build_commands 1:4 1:1: -X
1754444183.293362 cmd_parse_build_commands 1:4 1:2: select-word
1754444183.293364 cmd_parse_build_commands 1:4 2:0: run
1754444183.293366 cmd_parse_build_commands 1:4 2:1: -d0.3
1754444183.293369 cmd_parse_build_commands 1:4 3:0: send
1754444183.293371 cmd_parse_build_commands 1:4 3:1: -X
1754444183.293373 cmd_parse_build_commands 1:4 3:2: copy-pipe-and-cancel
1754444183.293377 args_parse_flags: next -t=
1754444183.293379 args_parse_flag_argument: -t = =
1754444183.293381 args_parse: flags end at 2 of 2
1754444183.293384 cmd_parse_build_commands 0:0: send
1754444183.293386 cmd_parse_build_commands 0:1: -M
1754444183.293389 args_parse_flags: next -M
1754444183.293392 args_parse_flags: -M
1754444183.293394 args_parse: flags end at 2 of 2
1754444183.293396 cmd_parse_build_commands: send-keys -M
1754444183.293399 cmd_parse_build_commands 0:0: copy-mode
1754444183.293401 cmd_parse_build_commands 0:1: -H
1754444183.293403 cmd_parse_build_commands 1:0: send
1754444183.293407 cmd_parse_build_commands 1:1: -X
1754444183.293410 cmd_parse_build_commands 1:2: select-word
1754444183.293412 cmd_parse_build_commands 2:0: run
1754444183.293414 cmd_parse_build_commands 2:1: -d0.3
1754444183.293417 cmd_parse_build_commands 3:0: send
1754444183.293419 cmd_parse_build_commands 3:1: -X
1754444183.293421 cmd_parse_build_commands 3:2: copy-pipe-and-cancel
1754444183.293424 args_parse_flags: next -H
1754444183.293426 args_parse_flags: -H
1754444183.293429 args_parse: flags end at 2 of 2
1754444183.293435 args_parse_flags: next -X
1754444183.293437 args_parse_flags: -X
1754444183.293439 args_parse_flags: next select-word
1754444183.293442 args_parse: flags end at 2 of 3
1754444183.293444 args_parse: 2 = select-word (type STRING)
1754444183.293447 args_parse_flags: next -d0.3
1754444183.293449 args_parse_flag_argument: -d = 0.3
1754444183.293452 args_parse: flags end at 2 of 2
1754444183.293455 args_parse_flags: next -X
1754444183.293457 args_parse_flags: -X
1754444183.293459 args_parse_flags: next copy-pipe-and-cancel
1754444183.293462 args_parse: flags end at 2 of 3
1754444183.293464 args_parse: 2 = copy-pipe-and-cancel (type STRING)
1754444183.293469 cmd_parse_build_commands: copy-mode -H ; send-keys -X select-word ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel
1754444183.293472 args_parse_flags: next -F
1754444183.293474 args_parse_flags: -F
1754444183.293477 args_parse_flags: next #{||:#{pane_in_mode},#{mouse_any_flag}}
1754444183.293479 args_parse: flags end at 2 of 5
1754444183.293481 args_parse: 2 = #{||:#{pane_in_mode},#{mouse_any_flag}} (type STRING)
1754444183.293484 args_parse: 3 = send-keys -M (type COMMANDS)
1754444183.293489 args_parse: 4 = copy-mode -H ; send-keys -X select-word ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel (type COMMANDS)
1754444183.293499 cmd_parse_build_commands: select-pane -t = ; if-shell -F "#{||:#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { copy-mode -H ; send-keys -X select-word ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel }
1754444183.293501 args_parse_flags: next -n
1754444183.293503 args_parse_flags: -n
1754444183.293506 args_parse_flags: next DoubleClick1Pane
1754444183.293508 args_parse: flags end at 2 of 4
1754444183.293511 args_parse: 2 = DoubleClick1Pane (type STRING)
1754444183.293518 args_parse: 3 = select-pane -t = ; if-shell -F "#{||:#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { copy-mode -H ; send-keys -X select-word ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel } (type COMMANDS)
1754444183.293527 cmd_parse_build_commands: bind-key -n DoubleClick1Pane { select-pane -t = ; if-shell -F "#{||:#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { copy-mode -H ; send-keys -X select-word ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel } }
1754444183.293530 cmdq_get_command: [bind-key/0x561adbeeb6d0] group 898
1754444183.293533 cmdq_append <global>: [bind-key/0x561adbeeb6d0]
1754444183.293535 yylex_token: end at WS
1754444183.293537 yylex_token: bind
1754444183.293540 yylex_token: end at WS
1754444183.293542 yylex_token: -n
1754444183.293544 yylex_token: end at WS
1754444183.293547 yylex_token: TripleClick1Pane
1754444183.293549 yylex_token: end at WS
1754444183.293551 yylex_token: select-pane
1754444183.293553 yylex_token: end at ;
1754444183.293556 yylex_token: -t=
1754444183.293558 yylex_token: end at WS
1754444183.293560 yylex_token: if
1754444183.293562 yylex_token: end at WS
1754444183.293564 yylex_token: -F
1754444183.293567 yylex_token: end at WS
1754444183.293569 yylex_token: #{||:#{pane_in_mode},#{mouse_any_flag}}
1754444183.293572 yylex_token: end at WS
1754444183.293574 yylex_token: send
1754444183.293576 yylex_token: end at WS
1754444183.293578 yylex_token: -M
1754444183.293581 yylex_token: end at WS
1754444183.293583 yylex_token: copy-mode
1754444183.293585 yylex_token: end at ;
1754444183.293587 yylex_token: -H
1754444183.293590 yylex_token: end at WS
1754444183.293592 yylex_token: send
1754444183.293594 yylex_token: end at WS
1754444183.293596 yylex_token: -X
1754444183.293598 yylex_token: end at ;
1754444183.293601 yylex_token: select-line
1754444183.293603 yylex_token: end at WS
1754444183.293605 yylex_token: run
1754444183.293607 yylex_token: end at ;
1754444183.293610 yylex_token: -d0.3
1754444183.293612 yylex_token: end at WS
1754444183.293614 yylex_token: send
1754444183.293616 yylex_token: end at WS
1754444183.293618 yylex_token: -X
1754444183.293621 yylex_token: end at WS
1754444183.293623 yylex_token: copy-pipe-and-cancel
1754444183.293626 cmd_parse_build_commands 0:0: bind
1754444183.293631 cmd_parse_build_commands 0:1: -n
1754444183.293634 cmd_parse_build_commands 0:2: TripleClick1Pane
1754444183.293638 cmd_parse_build_commands 0:3 0:0: select-pane
1754444183.293640 cmd_parse_build_commands 0:3 0:1: -t=
1754444183.293642 cmd_parse_build_commands 0:3 1:0: if
1754444183.293645 cmd_parse_build_commands 0:3 1:1: -F
1754444183.293647 cmd_parse_build_commands 0:3 1:2: #{||:#{pane_in_mode},#{mouse_any_flag}}
1754444183.293650 cmd_parse_build_commands 0:3 1:3 0:0: send
1754444183.293652 cmd_parse_build_commands 0:3 1:3 0:1: -M
1754444183.293658 cmd_parse_build_commands 0:3 1:4 0:0: copy-mode
1754444183.293662 cmd_parse_build_commands 0:3 1:4 0:1: -H
1754444183.293664 cmd_parse_build_commands 0:3 1:4 1:0: send
1754444183.293666 cmd_parse_build_commands 0:3 1:4 1:1: -X
1754444183.293669 cmd_parse_build_commands 0:3 1:4 1:2: select-line
1754444183.293671 cmd_parse_build_commands 0:3 1:4 2:0: run
1754444183.293673 cmd_parse_build_commands 0:3 1:4 2:1: -d0.3
1754444183.293676 cmd_parse_build_commands 0:3 1:4 3:0: send
1754444183.293678 cmd_parse_build_commands 0:3 1:4 3:1: -X
1754444183.293680 cmd_parse_build_commands 0:3 1:4 3:2: copy-pipe-and-cancel
1754444183.293683 cmd_parse_build_commands 0:0: select-pane
1754444183.293685 cmd_parse_build_commands 0:1: -t=
1754444183.293688 cmd_parse_build_commands 1:0: if
1754444183.293690 cmd_parse_build_commands 1:1: -F
1754444183.293692 cmd_parse_build_commands 1:2: #{||:#{pane_in_mode},#{mouse_any_flag}}
1754444183.293695 cmd_parse_build_commands 1:3 0:0: send
1754444183.293697 cmd_parse_build_commands 1:3 0:1: -M
1754444183.293700 cmd_parse_build_commands 1:4 0:0: copy-mode
1754444183.293702 cmd_parse_build_commands 1:4 0:1: -H
1754444183.293706 cmd_parse_build_commands 1:4 1:0: send
1754444183.293708 cmd_parse_build_commands 1:4 1:1: -X
1754444183.293711 cmd_parse_build_commands 1:4 1:2: select-line
1754444183.293713 cmd_parse_build_commands 1:4 2:0: run
1754444183.293715 cmd_parse_build_commands 1:4 2:1: -d0.3
1754444183.293717 cmd_parse_build_commands 1:4 3:0: send
1754444183.293720 cmd_parse_build_commands 1:4 3:1: -X
1754444183.293722 cmd_parse_build_commands 1:4 3:2: copy-pipe-and-cancel
1754444183.293725 args_parse_flags: next -t=
1754444183.293728 args_parse_flag_argument: -t = =
1754444183.293730 args_parse: flags end at 2 of 2
1754444183.293733 cmd_parse_build_commands 0:0: send
1754444183.293735 cmd_parse_build_commands 0:1: -M
1754444183.293738 args_parse_flags: next -M
1754444183.293740 args_parse_flags: -M
1754444183.293743 args_parse: flags end at 2 of 2
1754444183.293745 cmd_parse_build_commands: send-keys -M
1754444183.293748 cmd_parse_build_commands 0:0: copy-mode
1754444183.293750 cmd_parse_build_commands 0:1: -H
1754444183.293752 cmd_parse_build_commands 1:0: send
1754444183.293755 cmd_parse_build_commands 1:1: -X
1754444183.293757 cmd_parse_build_commands 1:2: select-line
1754444183.293759 cmd_parse_build_commands 2:0: run
1754444183.293761 cmd_parse_build_commands 2:1: -d0.3
1754444183.293764 cmd_parse_build_commands 3:0: send
1754444183.293766 cmd_parse_build_commands 3:1: -X
1754444183.293768 cmd_parse_build_commands 3:2: copy-pipe-and-cancel
1754444183.293771 args_parse_flags: next -H
1754444183.293773 args_parse_flags: -H
1754444183.293775 args_parse: flags end at 2 of 2
1754444183.293779 args_parse_flags: next -X
1754444183.293781 args_parse_flags: -X
1754444183.293783 args_parse_flags: next select-line
1754444183.293787 args_parse: flags end at 2 of 3
1754444183.293789 args_parse: 2 = select-line (type STRING)
1754444183.293792 args_parse_flags: next -d0.3
1754444183.293795 args_parse_flag_argument: -d = 0.3
1754444183.293797 args_parse: flags end at 2 of 2
1754444183.293800 args_parse_flags: next -X
1754444183.293802 args_parse_flags: -X
1754444183.293805 args_parse_flags: next copy-pipe-and-cancel
1754444183.293807 args_parse: flags end at 2 of 3
1754444183.293809 args_parse: 2 = copy-pipe-and-cancel (type STRING)
1754444183.293814 cmd_parse_build_commands: copy-mode -H ; send-keys -X select-line ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel
1754444183.293820 args_parse_flags: next -F
1754444183.293822 args_parse_flags: -F
1754444183.293824 args_parse_flags: next #{||:#{pane_in_mode},#{mouse_any_flag}}
1754444183.293827 args_parse: flags end at 2 of 5
1754444183.293829 args_parse: 2 = #{||:#{pane_in_mode},#{mouse_any_flag}} (type STRING)
1754444183.293832 args_parse: 3 = send-keys -M (type COMMANDS)
1754444183.293837 args_parse: 4 = copy-mode -H ; send-keys -X select-line ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel (type COMMANDS)
1754444183.293844 cmd_parse_build_commands: select-pane -t = ; if-shell -F "#{||:#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { copy-mode -H ; send-keys -X select-line ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel }
1754444183.293847 args_parse_flags: next -n
1754444183.293849 args_parse_flags: -n
1754444183.293851 args_parse_flags: next TripleClick1Pane
1754444183.293854 args_parse: flags end at 2 of 4
1754444183.293856 args_parse: 2 = TripleClick1Pane (type STRING)
1754444183.293865 args_parse: 3 = select-pane -t = ; if-shell -F "#{||:#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { copy-mode -H ; send-keys -X select-line ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel } (type COMMANDS)
1754444183.293874 cmd_parse_build_commands: bind-key -n TripleClick1Pane { select-pane -t = ; if-shell -F "#{||:#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { copy-mode -H ; send-keys -X select-line ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel } }
1754444183.293877 cmdq_get_command: [bind-key/0x561adbeef920] group 918
1754444183.293880 cmdq_append <global>: [bind-key/0x561adbeef920]
1754444183.293882 yylex_token: end at WS
1754444183.293884 yylex_token: bind
1754444183.293887 yylex_token: end at WS
1754444183.293889 yylex_token: -n
1754444183.293891 yylex_token: end at WS
1754444183.293894 yylex_token: MouseDrag1Border
1754444183.293896 yylex_token: end at WS
1754444183.293898 yylex_token: resize-pane
1754444183.293900 yylex_token: end at WS
1754444183.293903 yylex_token: -M
1754444183.293905 cmd_parse_build_commands 0:0: bind
1754444183.293908 cmd_parse_build_commands 0:1: -n
1754444183.293910 cmd_parse_build_commands 0:2: MouseDrag1Border
1754444183.293912 cmd_parse_build_commands 0:3 0:0: resize-pane
1754444183.293915 cmd_parse_build_commands 0:3 0:1: -M
1754444183.293917 cmd_parse_build_commands 0:0: resize-pane
1754444183.293920 cmd_parse_build_commands 0:1: -M
1754444183.293923 args_parse_flags: next -M
1754444183.293925 args_parse_flags: -M
1754444183.293927 args_parse: flags end at 2 of 2
1754444183.293930 cmd_parse_build_commands: resize-pane -M
1754444183.293933 args_parse_flags: next -n
1754444183.293935 args_parse_flags: -n
1754444183.293937 args_parse_flags: next MouseDrag1Border
1754444183.293939 args_parse: flags end at 2 of 4
1754444183.293942 args_parse: 2 = MouseDrag1Border (type STRING)
1754444183.293946 args_parse: 3 = resize-pane -M (type COMMANDS)
1754444183.293950 cmd_parse_build_commands: bind-key -n MouseDrag1Border { resize-pane -M }
1754444183.293953 cmdq_get_command: [bind-key/0x561adbef00a0] group 938
1754444183.293955 cmdq_append <global>: [bind-key/0x561adbef00a0]
1754444183.293958 yylex_token: end at WS
1754444183.293960 yylex_token: bind
1754444183.293962 yylex_token: end at WS
1754444183.293964 yylex_token: -n
1754444183.293967 yylex_token: end at WS
1754444183.293969 yylex_token: MouseDown1Status
1754444183.293971 yylex_token: end at WS
1754444183.293974 yylex_token: select-window
1754444183.293976 yylex_token: end at WS
1754444183.293978 yylex_token: -t=
1754444183.293981 cmd_parse_build_commands 0:0: bind
1754444183.293983 cmd_parse_build_commands 0:1: -n
1754444183.293985 cmd_parse_build_commands 0:2: MouseDown1Status
1754444183.293988 cmd_parse_build_commands 0:3 0:0: select-window
1754444183.293990 cmd_parse_build_commands 0:3 0:1: -t=
1754444183.293993 cmd_parse_build_commands 0:0: select-window
1754444183.293995 cmd_parse_build_commands 0:1: -t=
1754444183.293998 args_parse_flags: next -t=
1754444183.294000 args_parse_flag_argument: -t = =
1754444183.294007 args_parse: flags end at 2 of 2
1754444183.294010 cmd_parse_build_commands: select-window -t =
1754444183.294012 args_parse_flags: next -n
1754444183.294014 args_parse_flags: -n
1754444183.294017 args_parse_flags: next MouseDown1Status
1754444183.294019 args_parse: flags end at 2 of 4
1754444183.294021 args_parse: 2 = MouseDown1Status (type STRING)
1754444183.294024 args_parse: 3 = select-window -t = (type COMMANDS)
1754444183.294028 cmd_parse_build_commands: bind-key -n MouseDown1Status { select-window -t = }
1754444183.294031 cmdq_get_command: [bind-key/0x561adbef0b60] group 946
1754444183.294033 cmdq_append <global>: [bind-key/0x561adbef0b60]
1754444183.294036 yylex_token: end at WS
1754444183.294038 yylex_token: bind
1754444183.294040 yylex_token: end at WS
1754444183.294042 yylex_token: -n
1754444183.294045 yylex_token: end at WS
1754444183.294047 yylex_token: WheelDownStatus
1754444183.294049 yylex_token: end at WS
1754444183.294052 yylex_token: next-window
1754444183.294054 cmd_parse_build_commands 0:0: bind
1754444183.294057 cmd_parse_build_commands 0:1: -n
1754444183.294062 cmd_parse_build_commands 0:2: WheelDownStatus
1754444183.294065 cmd_parse_build_commands 0:3 0:0: next-window
1754444183.294067 cmd_parse_build_commands 0:0: next-window
1754444183.294070 args_parse: flags end at 1 of 1
1754444183.294073 cmd_parse_build_commands: next-window
1754444183.294075 args_parse_flags: next -n
1754444183.294077 args_parse_flags: -n
1754444183.294080 args_parse_flags: next WheelDownStatus
1754444183.294082 args_parse: flags end at 2 of 4
1754444183.294084 args_parse: 2 = WheelDownStatus (type STRING)
1754444183.294087 args_parse: 3 = next-window (type COMMANDS)
1754444183.294091 cmd_parse_build_commands: bind-key -n WheelDownStatus { next-window }
1754444183.294093 cmdq_get_command: [bind-key/0x561adbef1770] group 954
1754444183.294096 cmdq_append <global>: [bind-key/0x561adbef1770]
1754444183.294098 yylex_token: end at WS
1754444183.294100 yylex_token: bind
1754444183.294103 yylex_token: end at WS
1754444183.294105 yylex_token: -n
1754444183.294107 yylex_token: end at WS
1754444183.294109 yylex_token: WheelUpStatus
1754444183.294112 yylex_token: end at WS
1754444183.294114 yylex_token: previous-window
1754444183.294117 cmd_parse_build_commands 0:0: bind
1754444183.294119 cmd_parse_build_commands 0:1: -n
1754444183.294121 cmd_parse_build_commands 0:2: WheelUpStatus
1754444183.294124 cmd_parse_build_commands 0:3 0:0: previous-window
1754444183.294126 cmd_parse_build_commands 0:0: previous-window
1754444183.294129 args_parse: flags end at 1 of 1
1754444183.294132 cmd_parse_build_commands: previous-window
1754444183.294134 args_parse_flags: next -n
1754444183.294136 args_parse_flags: -n
1754444183.294139 args_parse_flags: next WheelUpStatus
1754444183.294142 args_parse: flags end at 2 of 4
1754444183.294145 args_parse: 2 = WheelUpStatus (type STRING)
1754444183.294147 args_parse: 3 = previous-window (type COMMANDS)
1754444183.294151 cmd_parse_build_commands: bind-key -n WheelUpStatus { previous-window }
1754444183.294154 cmdq_get_command: [bind-key/0x561adbef2290] group 962
1754444183.294156 cmdq_append <global>: [bind-key/0x561adbef2290]
1754444183.294158 yylex_token: end at WS
1754444183.294161 yylex_token: bind
1754444183.294163 yylex_token: end at WS
1754444183.294165 yylex_token: -n
1754444183.294167 yylex_token: end at WS
1754444183.294170 yylex_token: MouseDown3StatusLeft
1754444183.294172 yylex_token: end at WS
1754444183.294174 yylex_token: display-menu
1754444183.294177 yylex_token: end at WS
1754444183.294179 yylex_token: -t=
1754444183.294181 yylex_token: end at WS
1754444183.294183 yylex_token: -xM
1754444183.294185 yylex_token: end at WS
1754444183.294187 yylex_token: -yW
1754444183.294190 yylex_token: end at WS
1754444183.294192 yylex_token: -T
1754444183.294194 yylex_token: end at WS
1754444183.294197 yylex_token: #[align=centre]#{session_name}
1754444183.294199 yylex_token: end at WS
1754444183.294201 yylex_token: Next
1754444183.294203 yylex_token: end at WS
1754444183.294209 yylex_token: n
1754444183.294211 yylex_token: end at WS
1754444183.294214 yylex_token: switch-client
1754444183.294216 yylex_token: end at }
1754444183.294218 yylex_token: -n
1754444183.294221 yylex_token: end at WS
1754444183.294223 yylex_token: Previous
1754444183.294225 yylex_token: end at WS
1754444183.294227 yylex_token: p
1754444183.294230 yylex_token: end at WS
1754444183.294232 yylex_token: switch-client
1754444183.294234 yylex_token: end at }
1754444183.294236 yylex_token: -p
1754444183.294239 yylex_token: end at WS
1754444183.294241 yylex_token: 
1754444183.294243 yylex_token: end at WS
1754444183.294245 yylex_token: Renumber
1754444183.294247 yylex_token: end at WS
1754444183.294250 yylex_token: N
1754444183.294252 yylex_token: end at WS
1754444183.294254 yylex_token: move-window
1754444183.294256 yylex_token: end at }
1754444183.294259 yylex_token: -r
1754444183.294261 yylex_token: end at WS
1754444183.294263 yylex_token: Rename
1754444183.294265 yylex_token: end at WS
1754444183.294267 yylex_token: n
1754444183.294270 yylex_token: end at WS
1754444183.294272 yylex_token: command-prompt
1754444183.294276 yylex_token: end at WS
1754444183.294278 yylex_token: -I
1754444183.294280 yylex_token: end at WS
1754444183.294282 yylex_token: #S
1754444183.294285 yylex_token: end at WS
1754444183.294287 yylex_token: rename-session
1754444183.294289 yylex_token: end at WS
1754444183.294291 yylex_token: --
1754444183.294294 yylex_token: end at }
1754444183.294296 yylex_token: %%
1754444183.294298 yylex_token: end at WS
1754444183.294300 yylex_token: 
1754444183.294303 yylex_token: end at WS
1754444183.294305 yylex_token: New Session
1754444183.294307 yylex_token: end at WS
1754444183.294309 yylex_token: s
1754444183.294312 yylex_token: end at }
1754444183.294314 yylex_token: new-session
1754444183.294316 yylex_token: end at WS
1754444183.294319 yylex_token: New Window
1754444183.294321 yylex_token: end at WS
1754444183.294323 yylex_token: w
1754444183.294325 yylex_token: end at }
1754444183.294327 yylex_token: new-window
1754444183.294330 cmd_parse_build_commands 0:0: bind
1754444183.294333 cmd_parse_build_commands 0:1: -n
1754444183.294335 cmd_parse_build_commands 0:2: MouseDown3StatusLeft
1754444183.294338 cmd_parse_build_commands 0:3 0:0: display-menu
1754444183.294340 cmd_parse_build_commands 0:3 0:1: -t=
1754444183.294342 cmd_parse_build_commands 0:3 0:2: -xM
1754444183.294345 cmd_parse_build_commands 0:3 0:3: -yW
1754444183.294347 cmd_parse_build_commands 0:3 0:4: -T
1754444183.294349 cmd_parse_build_commands 0:3 0:5: #[align=centre]#{session_name}
1754444183.294352 cmd_parse_build_commands 0:3 0:6: Next
1754444183.294354 cmd_parse_build_commands 0:3 0:7: n
1754444183.294356 cmd_parse_build_commands 0:3 0:8 0:0: switch-client
1754444183.294359 cmd_parse_build_commands 0:3 0:8 0:1: -n
1754444183.294361 cmd_parse_build_commands 0:3 0:9: Previous
1754444183.294364 cmd_parse_build_commands 0:3 0:10: p
1754444183.294366 cmd_parse_build_commands 0:3 0:11 0:0: switch-client
1754444183.294368 cmd_parse_build_commands 0:3 0:11 0:1: -p
1754444183.294371 cmd_parse_build_commands 0:3 0:12: 
1754444183.294373 cmd_parse_build_commands 0:3 0:13: Renumber
1754444183.294377 cmd_parse_build_commands 0:3 0:14: N
1754444183.294379 cmd_parse_build_commands 0:3 0:15 0:0: move-window
1754444183.294382 cmd_parse_build_commands 0:3 0:15 0:1: -r
1754444183.294384 cmd_parse_build_commands 0:3 0:16: Rename
1754444183.294386 cmd_parse_build_commands 0:3 0:17: n
1754444183.294389 cmd_parse_build_commands 0:3 0:18 0:0: command-prompt
1754444183.294391 cmd_parse_build_commands 0:3 0:18 0:1: -I
1754444183.294393 cmd_parse_build_commands 0:3 0:18 0:2: #S
1754444183.294396 cmd_parse_build_commands 0:3 0:18 0:3 0:0: rename-session
1754444183.294398 cmd_parse_build_commands 0:3 0:18 0:3 0:1: --
1754444183.294401 cmd_parse_build_commands 0:3 0:18 0:3 0:2: %%
1754444183.294403 cmd_parse_build_commands 0:3 0:19: 
1754444183.294405 cmd_parse_build_commands 0:3 0:20: New Session
1754444183.294408 cmd_parse_build_commands 0:3 0:21: s
1754444183.294413 cmd_parse_build_commands 0:3 0:22 0:0: new-session
1754444183.294416 cmd_parse_build_commands 0:3 0:23: New Window
1754444183.294418 cmd_parse_build_commands 0:3 0:24: w
1754444183.294420 cmd_parse_build_commands 0:3 0:25 0:0: new-window
1754444183.294423 cmd_parse_build_commands 0:0: display-menu
1754444183.294425 cmd_parse_build_commands 0:1: -t=
1754444183.294428 cmd_parse_build_commands 0:2: -xM
1754444183.294430 cmd_parse_build_commands 0:3: -yW
1754444183.294432 cmd_parse_build_commands 0:4: -T
1754444183.294435 cmd_parse_build_commands 0:5: #[align=centre]#{session_name}
1754444183.294437 cmd_parse_build_commands 0:6: Next
1754444183.294439 cmd_parse_build_commands 0:7: n
1754444183.294442 cmd_parse_build_commands 0:8 0:0: switch-client
1754444183.294444 cmd_parse_build_commands 0:8 0:1: -n
1754444183.294448 cmd_parse_build_commands 0:9: Previous
1754444183.294451 cmd_parse_build_commands 0:10: p
1754444183.294453 cmd_parse_build_commands 0:11 0:0: switch-client
1754444183.294455 cmd_parse_build_commands 0:11 0:1: -p
1754444183.294458 cmd_parse_build_commands 0:12: 
1754444183.294460 cmd_parse_build_commands 0:13: Renumber
1754444183.294462 cmd_parse_build_commands 0:14: N
1754444183.294465 cmd_parse_build_commands 0:15 0:0: move-window
1754444183.294467 cmd_parse_build_commands 0:15 0:1: -r
1754444183.294469 cmd_parse_build_commands 0:16: Rename
1754444183.294472 cmd_parse_build_commands 0:17: n
1754444183.294474 cmd_parse_build_commands 0:18 0:0: command-prompt
1754444183.294476 cmd_parse_build_commands 0:18 0:1: -I
1754444183.294479 cmd_parse_build_commands 0:18 0:2: #S
1754444183.294481 cmd_parse_build_commands 0:18 0:3 0:0: rename-session
1754444183.294484 cmd_parse_build_commands 0:18 0:3 0:1: --
1754444183.294486 cmd_parse_build_commands 0:18 0:3 0:2: %%
1754444183.294488 cmd_parse_build_commands 0:19: 
1754444183.294490 cmd_parse_build_commands 0:20: New Session
1754444183.294493 cmd_parse_build_commands 0:21: s
1754444183.294495 cmd_parse_build_commands 0:22 0:0: new-session
1754444183.294498 cmd_parse_build_commands 0:23: New Window
1754444183.294500 cmd_parse_build_commands 0:24: w
1754444183.294502 cmd_parse_build_commands 0:25 0:0: new-window
1754444183.294505 cmd_parse_build_commands 0:0: switch-client
1754444183.294508 cmd_parse_build_commands 0:1: -n
1754444183.294511 args_parse_flags: next -n
1754444183.294513 args_parse_flags: -n
1754444183.294515 args_parse: flags end at 2 of 2
1754444183.294518 cmd_parse_build_commands: switch-client -n
1754444183.294529 cmd_parse_build_commands 0:0: switch-client
1754444183.294531 cmd_parse_build_commands 0:1: -p
1754444183.294534 args_parse_flags: next -p
1754444183.294537 args_parse_flags: -p
1754444183.294539 args_parse: flags end at 2 of 2
1754444183.294542 cmd_parse_build_commands: switch-client -p
1754444183.294545 cmd_parse_build_commands 0:0: move-window
1754444183.294547 cmd_parse_build_commands 0:1: -r
1754444183.294550 args_parse_flags: next -r
1754444183.294552 args_parse_flags: -r
1754444183.294555 args_parse: flags end at 2 of 2
1754444183.294557 cmd_parse_build_commands: move-window -r
1754444183.294560 cmd_parse_build_commands 0:0: command-prompt
1754444183.294563 cmd_parse_build_commands 0:1: -I
1754444183.294565 cmd_parse_build_commands 0:2: #S
1754444183.294568 cmd_parse_build_commands 0:3 0:0: rename-session
1754444183.294570 cmd_parse_build_commands 0:3 0:1: --
1754444183.294572 cmd_parse_build_commands 0:3 0:2: %%
1754444183.294575 cmd_parse_build_commands 0:0: rename-session
1754444183.294577 cmd_parse_build_commands 0:1: --
1754444183.294579 cmd_parse_build_commands 0:2: %%
1754444183.294582 args_parse_flags: next --
1754444183.294585 args_parse: flags end at 2 of 3
1754444183.294587 args_parse: 2 = %% (type STRING)
1754444183.294590 cmd_parse_build_commands: rename-session "%%"
1754444183.294593 args_parse_flags: next -I
1754444183.294595 args_parse_flag_argument: -I = #S
1754444183.294598 args_parse: flags end at 3 of 4
1754444183.294600 args_parse: 3 = rename-session "%%" (type COMMANDS)
1754444183.294604 cmd_parse_build_commands: command-prompt -I "#S" { rename-session "%%" }
1754444183.294610 cmd_parse_build_commands 0:0: new-session
1754444183.294613 args_parse: flags end at 1 of 1
1754444183.294616 cmd_parse_build_commands: new-session
1754444183.294619 cmd_parse_build_commands 0:0: new-window
1754444183.294622 args_parse: flags end at 1 of 1
1754444183.294625 cmd_parse_build_commands: new-window
1754444183.294627 args_parse_flags: next -t=
1754444183.294629 args_parse_flag_argument: -t = =
1754444183.294632 args_parse_flags: next -xM
